numero_de_cliente	prob	prob_1	prob_2	prob_3	prob_4	prob_5	prob_6	prob_7	prob_8	prob_9	prob_10	prob_11	prob_12	prob_13	prob_14	prob_15	prob_16	prob_17	prob_18	prob_19	prob_20
29186441	0.000669780283207362	0.000669780283206781	0.000669780283206781	0.000669780283206781	0.000669780283208233	0.000669780283208233	0.000669780283208233	0.000669780283208233	0.000669780283208233	0.000669780283208233	0.000669780283208233	0.000669780283206781	0.000669780283206781	0.000669780283208233	0.000669780283206781	0.000669780283206781	0.000669780283206781	0.000669780283206781	0.000669780283206781	0.000669780283206781	0.000669780283206781
29187730	4.90077361809865e-05	4.90077361809182e-05	4.90077361809182e-05	4.90077361809182e-05	4.90077361810888e-05	4.90077361810888e-05	4.9007736181089e-05	4.90077361810888e-05	4.90077361810888e-05	4.9007736181089e-05	4.90077361810888e-05	4.90077361809182e-05	4.90077361809182e-05	4.90077361810888e-05	4.90077361809184e-05	4.90077361809184e-05	4.90077361809182e-05	4.90077361809182e-05	4.90077361809182e-05	4.90077361809184e-05	4.90077361809182e-05
29187961	0.000346278746141104	0.000346278746140704	0.000346278746140704	0.000346278746140704	0.000346278746141704	0.000346278746141704	0.000346278746141704	0.000346278746141704	0.000346278746141704	0.000346278746141704	0.000346278746141704	0.000346278746140704	0.000346278746140704	0.000346278746141704	0.000346278746140703	0.000346278746140704	0.000346278746140704	0.000346278746140703	0.000346278746140704	0.000346278746140703	0.000346278746140704
29193101	4.59011987454795e-05	4.59011987454778e-05	4.59011987454778e-05	4.59011987454777e-05	4.59011987454822e-05	4.59011987454822e-05	4.59011987454822e-05	4.59011987454822e-05	4.59011987454822e-05	4.59011987454822e-05	4.59011987454822e-05	4.59011987454778e-05	4.59011987454778e-05	4.59011987454822e-05	4.59011987454778e-05	4.59011987454777e-05	4.59011987454778e-05	4.59011987454778e-05	4.59011987454778e-05	4.59011987454778e-05	4.59011987454778e-05
29193281	3.75511801637544e-05	3.7551180163758e-05	3.7551180163758e-05	3.75511801637578e-05	3.75511801637491e-05	3.75511801637491e-05	3.75511801637492e-05	3.75511801637492e-05	3.75511801637491e-05	3.75511801637492e-05	3.75511801637491e-05	3.7551180163758e-05	3.7551180163758e-05	3.75511801637491e-05	3.75511801637579e-05	3.7551180163758e-05	3.7551180163758e-05	3.7551180163758e-05	3.75511801637579e-05	3.7551180163758e-05	3.7551180163758e-05
29198891	6.68719312434722e-05	6.68719312434984e-05	6.68719312434984e-05	6.68719312434984e-05	6.68719312434331e-05	6.68719312434331e-05	6.68719312434331e-05	6.68719312434331e-05	6.68719312434331e-05	6.68719312434331e-05	6.68719312434331e-05	6.68719312434984e-05	6.68719312434984e-05	6.68719312434331e-05	6.68719312434981e-05	6.68719312434984e-05	6.68719312434984e-05	6.68719312434981e-05	6.68719312434984e-05	6.68719312434981e-05	6.68719312434984e-05
29200651	0.00387167331776261	0.00387167331775844	0.00387167331775846	0.00387167331775843	0.00387167331776885	0.00387167331776885	0.00387167331776885	0.00387167331776885	0.00387167331776883	0.00387167331776883	0.00387167331776884	0.00387167331775845	0.00387167331775843	0.00387167331776883	0.00387167331775845	0.00387167331775847	0.00387167331775844	0.00387167331775846	0.00387167331775845	0.00387167331775846	0.00387167331775847
29200770	8.21580027153896e-06	8.21580027154083e-06	8.21580027154081e-06	8.21580027154081e-06	8.21580027153617e-06	8.21580027153615e-06	8.21580027153615e-06	8.21580027153617e-06	8.21580027153617e-06	8.21580027153617e-06	8.21580027153615e-06	8.21580027154083e-06	8.21580027154081e-06	8.21580027153617e-06	8.21580027154083e-06	8.21580027154081e-06	8.21580027154083e-06	8.21580027154081e-06	8.21580027154083e-06	8.21580027154083e-06	8.21580027154083e-06
29201701	3.24894627625479e-05	3.24894627625697e-05	3.24894627625707e-05	3.24894627625701e-05	3.24894627625148e-05	3.24894627625146e-05	3.24894627625148e-05	3.2489462762515e-05	3.24894627625147e-05	3.24894627625141e-05	3.24894627625149e-05	3.24894627625702e-05	3.24894627625698e-05	3.24894627625151e-05	3.248946276257e-05	3.24894627625696e-05	3.24894627625701e-05	3.24894627625701e-05	3.24894627625703e-05	3.24894627625703e-05	3.24894627625702e-05
29205441	0.230222875116417	0.230222875116457	0.230222875116456	0.230222875116457	0.230222875116356	0.230222875116358	0.230222875116356	0.230222875116356	0.230222875116356	0.230222875116356	0.230222875116356	0.230222875116456	0.230222875116456	0.230222875116356	0.230222875116456	0.230222875116457	0.230222875116456	0.230222875116456	0.230222875116458	0.230222875116457	0.230222875116458
29207790	0.000395147867081754	0.000395147867081665	0.000395147867081675	0.000395147867081669	0.000395147867081882	0.000395147867081881	0.000395147867081882	0.000395147867081882	0.000395147867081882	0.000395147867081877	0.000395147867081881	0.000395147867081671	0.000395147867081664	0.000395147867081888	0.000395147867081664	0.000395147867081664	0.000395147867081671	0.00039514786708167	0.000395147867081671	0.000395147867081671	0.000395147867081671
29207901	0.000496131261311704	0.000496131261311391	0.000496131261311392	0.00049613126131139	0.000496131261312171	0.000496131261312173	0.000496131261312173	0.000496131261312175	0.000496131261312171	0.000496131261312173	0.000496131261312171	0.000496131261311393	0.000496131261311393	0.000496131261312171	0.000496131261311393	0.000496131261311393	0.000496131261311391	0.000496131261311392	0.00049613126131139	0.000496131261311391	0.000496131261311391
